aid_attaques,Nom,Type,Niveau,Degats,Precision,Utilisation,Description
1,Decharge tranchante,Electrique,0,8,60,25,Une coupure suivie d'un \npuissant courant electrique.
2,Court circuit,Electrique,5,12,80,21,Decharge d'electricite \nqui fait mal.
3,Lame tournoyante,Electrique,15,22,90,17,Tourne a grande vitesse \npour trancher l'ennemi.
4,Pulverisation eclair,Electrique,25,28,100,13,Vaporise l'ennemi avec \nune decharge rapide et brûlante.
5,Fauche eclair,Electrique,35,38,80,10,Frappe rapide et electrique \navec une precision chirurgicale.
6,Vibre-choc,Electrique,0,10,90,26,Genere une onde vibratoire \nremplie de charges electriques.
7,Onde reseau,Electrique,15,13,100,20,Projette une onde energetique \nvia des signaux radio.
8,Sonnerie fatale,Electrique,35,42,100,12,Une vibration sonore electrifiee \nqui desoriente l'ennemi.
9,Impact lumineux,Electrique,0,7,70,28,Projette un rayon de \nlumiere pour frapper l'adversaire.
10,Rayon eblouissant,Electrique,15,20,90,21,Un rayon concentre \naveuglant et destructeur.
11,Flash destructeur,Electrique,35,38,90,11,Une explosion lumineuse \nqui inflige de lourds degâts.
12,Clavier fracassant,Electrique,0,9,50,25,ecrase l'ennemi avec une \nforce mecanique intense.
13,Decharge systeme,Electrique,5,13,90,22,Libere une surcharge electrique \ndestructrice sur la cible.
14,Bug foudroyant,Electrique,15,23,70,19,Plante l'ennemi avec une onde \nelectromagnetique puissante.
15,Virus destructeur,Electrique,25,30,70,17,Injecte un programme \ndevastateur pour destabiliser l'adversaire.
16,Ecran bleu fatal,Electrique,35,41,100,11,Cree un dysfonctionnement \nmassifchez l'adversaire.
17,Choc aromatique,Electrique,0,7,80,24,Envoie un souffle parfume et \nelectrise sur l'ennemi.
18,Nuage electrostatique,Electrique,15,18,60,20,Relâche un nuage charge \nd'electricite pour paralyser.
19,Vapeur foudroyante,Electrique,35,45,80,13,Projette une vapeur brûlante \net chargee electriquement.
20,Coup de baguette,Electrique,0,10,60,27,Une attaque rapide\n avec sa baguette.
21,Pain grillee,Electrique,5,15,70,23,Frappe l'ennemi avec \nune chaleur cuisante.
22,Eclair carbonise,Electrique,15,22,90,19,Projette une etincelle \ncapable de carboniser la cible.
23,Lance crouton,Electrique,25,32,40,18,Percute l'adversaire avec \nle crouton de sa baguette.
24,Toasteur explosif,Electrique,35,42,80,14,Libere une explosion \nelectrique apres surchauffe.
25,Coupe vent,Renouvelable,0,8,90,28,Une lame d'air \nchargee d'energie pure.
26,Souffle tranchant,Renouvelable,5,11,100,22,Une rafale de vent \ncoupante et rapide.
27,Bourrasque tourbillonnante,Renouvelable,15,20,80,18,Un tourbillon de \nvent qui balaye l'ennemi.
28,Toutourbillon,Renouvelable,25,32,80,14,Un cyclone alimente \npar l'energie eolienne.
29,Lame eolienne,Renouvelable,35,41,90,10,Une attaque tranchante \nportee par une turbine.
30,Herosion,Renouvelable,0,8,80,30,Usure l'adversaire.
